model,accuracy,precision,recall,f1,roc_auc,cv_auc_mean,cv_auc_std,best_params
LogisticRegression,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9497767857142857,0.8734319014319014,0.09006748383852411,
RandomForest,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9464285714285714,0.902037296037296,0.05172558272034916,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 300}"
DecisionTree,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8219866071428571,0.8374209124209123,0.07827264144242632,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}"
XGBoost,0.85,0.88,0.7857142857142857,0.8301886792452831,0.9263392857142857,0.8868877788877789,0.06830272160238383,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}"
